scene,start,end,score,query,script
56,3741.2,3753.3,69.76744186046511,"You called me and left a message to call you back that it was important and what I did you told me to forget about it. You chose not to tell me. Why did you make that choice? Because Paul I didn't think it was important was fuck. Yes, you did.",No Stephen. You didn't make a mistake. You made a choice. You called me and left a message to call back...that it was important. But when I did...you said to forget about it. You chose not to tell me. Why did you make that choice?
56,3882.3,3890.8,79.43262411347519,"He does. Yeah, and you know, what if I were you I get a good night's sleep because you're going to get fucking pounded by calls from the press in the morning.",If I were you? I'd get a good night sleep because you're gonna get fucking pounded by calls from the press in the morning...
63,4006.1,4027.8,82.08092485549133,Paul fired him some fucking setup about loyalty and it looks like Steven may have been doubling down a Duffy on the Pullman campaign. I was sitting in the room when Paul told Stephen he was fired and Stephen said who's going to take over and Paul said me I know and I'm like easy there soldier but then Stephen goes apeshit. Paul gives me the speech about loyalty and then then shits on Stephen like I've never seen before I mean humiliating shit.,Stephen's off the campaign. Paul fired him. Some fucking set up about loyalty and it looks like Stephen was doubling down with Duffy on the Pullman campaign. I was sitting in the room when Paul told Stephen that he was fired. Stephen said who's gonna take over and Paul said me...and I'm like...easy there soldier...but Stephen goes ape shit then Paul gives the speech about loyalty and then shits on Stephen like I've
63,4028.7,4049.4,84.0677966101695,When was this Molly listen to me? I'm gonna run the campaign under Paul Stevens going Duffy. I just jumped three years ahead. So starting tomorrow morning we go in full damage control and I'm telling you Steve is going apeshit. He said he's taking everybody down his way out Morris everybody.,"Molly listen to me...I'm gonna run the campaign under Paul...Stephen is going to Duffy. I just jumped three years ahead...so starting tomorrow morning we go into full damage control and I'm telling you Stephen's going ape shit...he said he's taking everyone down on his way out...Morris, everybody!"
63,4050.7,4052.5,93.47826086956522,"Shit, I got to take this. Do you need anything?",Shit I gotta take this. Do you need anything?
64,4207.7,4228.7,74.13793103448276,"Politics is my life. You know, what do yourself a favor? Get out now while you still can it could go into entertainment business go open a fucking restaurant in Costa Rica anything do something's going to make you happy. Okay, because you stay in this business long enough, you're gonna get jaded and cynical like you. Yeah just like me.","Do yourself a favor. Get out now while you still can. Go into entertainment, or business, or open a fucking restaurant in Costa Rica - anything. Do what will make you happy. You stay in this business long enough it makes you jaded and cynical."
67,4481.4,4504.1,91.81494661921708,"The coroner stated that based on the evidence found by the police in that hotel room with this was an accidental overdose lethal cocktail of alcohol and prescription drugs Cincinnati Police Chief Daryl. Matthews has called for a full investigation pending a toxicology report which could take up to two weeks. Just a terrible terrible situation for the former senator now DNC chairman, Jack Stearns and his family.","The coroner has stated, that based on the evidence found by the police in the hotel room, that this was an accidental overdose, a lethal cocktail of alcohol and prescription drugs. The Cincinnati police chief, Darryl Mathews, has called for a full investigation pending a toxicology report which could take up to two weeks. Just a terrible terrible situation for the former Senator, now DNC Chairman, Jack Stearns and his family."
68,4556.3,4557.6,88.88888888888889,Anything else you want to talk about Steven?,Anything else you want to talk about?
69,4600.2,4615.2,78.89125799573561,"We have no reason to believe I don't think we have any of that information yet, but obviously there'll be a full investigation. We just wanted to say that our hearts go out our prayers go out to the entire family. She really is she was part of our family.",I don't think we have any of that information yet. Obviously there will be a full investigation. Just wanted to say that our hearts go out...our prayers go out to the entire family...and she was part of our family.
69,4641.2,4646.5,89.26553672316385,She'd only been on the road with us for a few weeks. Maybe four weeks. I think I can check.,"She'd only been on the road with us for a few weeks...maybe four I think, I can check."
72,4746.9,4747.8,100.0,Does it seem that way?,Does it seem that way?
72,4752.2,4756.3,82.41758241758241,"you have something you think you have something you want to get off your chest, and why don't you",If you have something...or think you have something you want to get off your chest...
72,4758.1,4760.2,83.80952380952381,How about I do the talking and you do the listening?,What's say I do the talking and you do the listening.
72,4785.2,4796.4,75.72815533980582,"Because you broke the Only Rule in politics you want to be president. You can start a war. You can lie. You can cheat you can bankrupt the country, but you can't fuck the interns.","Because you want to win. Because you broke the only rule in politics. You want to be President, you can start a war, you can lie, you can cheat, you can bankrupt the country, but you can't fuck the interns...they'll get you for that."
72,4826.1,4836.2,71.52317880794702,You're right Mike. There's nothing there's no voice messages. No texts. No emails. No pictures no tape and yet I'm standing right here. We'll go home.,"So how did I get here? You're right Mike, there's nothing. No phone messages, no text, no e- mails, no photos or tapes, and yet I'm standing right here."
72,4852.2,4854.1,73.46938775510203,I took her phone and I found a note.,I cleaned up your mess. I took her phone and I found her note.
72,4868.8,4872.7,86.88524590163934,Then why would she leave a note they could only do that. She's 20.,Then why would she leave a note that could only do that?
72,4881.2,4901.2,68.60643185298622,"I said a meeting with you and Thompson and you promised him the ticket you get 356 pledged delegates you get North Carolina you take office and you make right with so many people have made wrong all the things that we both believe in. Well, I don't believe in extortion. I don't believe in tying myself to you for the next eight years four years. It's not get ahead of ourselves.","Paul's gone today. I set a meeting with you and Thompson where you promise him the ticket. You get three hundred and fifty-six pledged delegates, you get North Carolina, and then you take office and make right what so many have made wrong. All the things we both believe in."
72,4920.6,4927.9,70.87719298245614,"I got a call someone from the hotel thought I could help in they called so you were off the campaign, but you thought it was important to fix things.","You were off the campaign, but you thought it was important to come back and fix things? It was your voice on the phone the other night."
72,4945.3,4948.5,72.54901960784314,I lent him some money and I gave her a ride I bet you did.,I loaned her some money and gave her a ride.
72,4989.6,4990.7,77.27272727272727,So if there's no note.,"Okay, there's no note."
79,5235.9,5237.5,75.60975609756098,you should already Jack for speechwriter.,You should hire Jack for a speech writer.
79,5267.1,5268.6,68.57142857142857,All grown up it's and all.,"Look at you, all grown up with tits and all."
79,5271.9,5273.0,100.0,I learned from the best.,I learned from the best.
79,5284.1,5285.5,100.0,How do you know I didn't have something on you?,How do you know I didn't have something on you?
79,5293.6,5297.0,84.07643312101911,You better get going the campaign to run. I've got officers to look at.,"You better get going, you've got a campaign to run and I've got offices to go look at."
79,5301.2,5303.2,83.9506172839506,nice consultant firm right of K Street,Nice consultant firm right off of K Street.
80,5345.4,5361.0,69.80198019801979,A United Democratic party. So I strongly urge the 356 loyal delegates that I have carried as a badge of honor throw their support to the governor that put this primary behind us.,"And I strongly urge that the three hundred and fifty-six loyal delegates that I have carried as a badge of honor, throw their support to the Governor. Let's end this primary and get on to the business of 1600 Pennsylvania Ave!"
85,5506.0,5512.5,71.35678391959799,Making me look bad. So if I had the story that said you're off the campaign and Thompson's going to Pullman.,I just filed a story that said you were off the campaign and Thompson was going to Pullman.
85,5514.3,5533.0,73.50427350427351,"Can't believe everything you read when I give you an opportunity to comment on. My next story says you deliver Thompson. You got the 356 delegates you delivered the nomination and all you asked in return was Paul's job. Any chance be confirming on this point. She's press I read about it in the funny papers. Come on, Steven.","I want to give you an opportunity to comment on my next story. It says that you delivered Thompson...You got the three hundred and fifty-six delegates, you delivered the nomination. And all you asked in return was Paul's job. Any chance of you confirming that?"
85,5538.5,5539.6,79.24528301886792,"You're my best friend, man.",You're my best friend Ida.
86,5664.8,5677.9,77.77777777777779,Senior campaign adviser Stephen coming to us from Xavier University for Senator Thompson has just discovered Horace essentially ending this primary race Steven. Can you give us some insight into how this whole thing unfolded?,"We now have Governor Morris's new senior campaign advisor, Stephen Myers, coming to us from Xavier University where Senator Thompson has just endorsed Governor Morris, essentially ending this primary race.  Stephen, can you give us some insight into how this whole thing unfolded?"
